,ATTLNACT,BELONG,COMPETE,DISCLIMA,EDUSHORT,EMOSUPS,EUDMO,GFOFAIL,GRADE,MASTGOAL,METASPAM,METASUM,PERCOMP,PERCOOP,PERFEED,PV1MATH,PV1READ,PV1SCIE,RATCMP1,RATCMP2,REPEAT,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,STIMREAD,SWBP,TEACHINT,TEACHSUP,UNDREM,WORKMAST
ROU,24,1,24,7,24,3,24,24,24,24,24,24,24,24,24,24,4,10,24,24,24,9,2,24,24,5,8,24,24,6,24,24,24,24,24,24,24
RUS,24,1,24,24,24,3,24,24,24,24,24,24,4,24,24,24,6,24,24,24,24,24,7,24,24,8,10,2,9,5,24,24,24,24,24,24,24
SAU,5,4,24,24,24,3,24,24,24,24,24,24,24,7,24,24,10,24,24,24,24,24,1,24,24,2,9,8,24,6,24,24,24,24,24,24,24
SGP,24,1,10,5,24,24,24,24,8,24,24,7,24,6,24,9,3,24,24,24,24,24,2,24,24,4,24,24,24,24,24,24,24,24,24,24,24
SRB,24,3,24,24,24,2,24,24,24,24,24,24,4,24,24,24,7,24,24,24,24,6,9,24,24,24,8,1,5,10,24,24,24,24,24,24,24
SVK,24,7,24,24,24,2,24,24,24,24,24,24,9,10,24,24,8,24,24,24,24,24,6,24,24,4,24,1,5,24,3,24,24,24,24,24,24
SVN,24,7,24,24,24,1,24,24,24,24,24,24,6,24,24,24,3,24,24,24,24,24,2,24,24,24,4,5,24,10,8,24,24,24,24,24,9
SWE,24,1,24,7,24,8,24,24,24,24,24,24,3,24,24,24,4,24,24,24,24,24,9,24,6,24,24,10,24,24,2,24,5,24,24,24,24
TAP,10,1,24,4,24,24,24,24,24,24,24,24,9,24,24,6,3,5,24,24,24,24,2,24,24,24,24,24,24,7,8,24,24,24,24,24,24
THA,24,3,24,24,24,8,24,24,24,24,24,24,9,24,24,6,1,24,24,24,10,24,4,24,24,24,5,24,2,7,24,24,24,24,24,24,24
TUR,24,2,24,8,24,5,24,24,24,24,24,24,24,9,24,24,3,7,24,24,24,24,1,24,24,24,24,4,24,6,24,24,24,24,24,10,24
UKR,24,2,24,5,24,4,24,24,24,24,24,24,6,8,24,24,3,24,24,24,24,24,1,24,24,24,7,9,24,10,24,24,24,24,24,24,24
URY,24,4,24,24,24,8,24,24,6,24,24,24,3,7,24,24,24,24,24,24,10,24,24,24,24,24,2,1,24,9,5,24,24,24,24,24,24
USA,24,2,24,6,24,24,9,24,24,24,24,24,24,24,24,3,1,24,24,24,24,24,4,24,24,24,10,24,8,7,24,24,5,24,24,24,24
VNM,24,2,24,7,9,24,24,24,24,24,24,24,10,24,24,24,24,24,24,6,4,24,1,24,24,24,24,8,3,5,24,24,24,24,24,24,24
