Country1,Country2,Footrule
BGR,MNE,102.0
BGR,MYS,164.0
BGR,NLD,50.0
BGR,NOR,152.0
BGR,NZL,52.0
BGR,PAN,76.0
BGR,PER,58.0
BGR,PHL,158.0
BGR,POL,46.0
BGR,PRT,136.0
BGR,QAT,134.0
BGR,QAZ,76.0
BGR,QCI,112.0
BGR,QMR,146.0
BGR,QRT,108.0
BGR,ROU,102.0
BGR,RUS,70.0
BGR,SAU,74.0
BGR,SGP,180.0
BGR,SRB,46.0
BGR,SVK,48.0
BGR,SVN,90.0
BGR,SWE,182.0
BGR,TAP,136.0
BGR,THA,120.0
BGR,TUR,138.0
BGR,UKR,102.0
BGR,URY,66.0
BGR,USA,182.0
BGR,VNM,194.0
BIH,BLR,106.0
BIH,BRA,78.0
BIH,BRN,114.0
BIH,CAN,134.0
BIH,CHE,102.0
BIH,CHL,92.0
BIH,COL,78.0
BIH,CRI,98.0
BIH,CZE,118.0
BIH,DEU,110.0
BIH,DNK,148.0
BIH,DOM,138.0
BIH,ESP,146.0
BIH,EST,116.0
BIH,FIN,158.0
BIH,FRA,92.0
BIH,GBR,162.0
BIH,GEO,98.0
BIH,GRC,120.0
BIH,HKG,80.0
BIH,HRV,122.0
BIH,HUN,86.0
BIH,IDN,192.0
BIH,IRL,132.0
BIH,ISL,144.0
BIH,ITA,96.0
BIH,JOR,102.0
BIH,JPN,162.0
BIH,KAZ,134.0
BIH,KOR,238.0
BIH,KSV,74.0
BIH,LTU,148.0
BIH,LUX,166.0
BIH,LVA,132.0
BIH,MAC,160.0
BIH,MAR,92.0
BIH,MDA,90.0
BIH,MEX,100.0
BIH,MLT,132.0
BIH,MNE,68.0
BIH,MYS,144.0
BIH,NLD,76.0
BIH,NOR,130.0
BIH,NZL,82.0
BIH,PAN,108.0
BIH,PER,94.0
BIH,PHL,196.0
BIH,POL,50.0
BIH,PRT,164.0
BIH,QAT,98.0
BIH,QAZ,132.0
BIH,QCI,116.0
BIH,QMR,128.0
BIH,QRT,144.0
BIH,ROU,98.0
BIH,RUS,98.0
BIH,SAU,58.0
BIH,SGP,192.0
BIH,SRB,104.0
BIH,SVK,86.0
BIH,SVN,146.0
BIH,SWE,194.0
BIH,TAP,112.0
BIH,THA,156.0
BIH,TUR,124.0
BIH,UKR,116.0
BIH,URY,96.0
BIH,USA,162.0
BIH,VNM,222.0
BLR,BRA,72.0
BLR,BRN,92.0
BLR,CAN,160.0
BLR,CHE,118.0
BLR,CHL,112.0
BLR,COL,90.0
BLR,CRI,102.0
BLR,CZE,94.0
BLR,DEU,146.0
BLR,DNK,130.0
BLR,DOM,76.0
BLR,ESP,180.0
BLR,EST,104.0
BLR,FIN,176.0
BLR,FRA,122.0
BLR,GBR,148.0
BLR,GEO,76.0
BLR,GRC,80.0
BLR,HKG,60.0
BLR,HRV,146.0
BLR,HUN,118.0
BLR,IDN,160.0
BLR,IRL,128.0
BLR,ISL,178.0
BLR,ITA,110.0
BLR,JOR,140.0
BLR,JPN,158.0
BLR,KAZ,72.0
BLR,KOR,204.0
BLR,KSV,110.0
BLR,LTU,92.0
BLR,LUX,134.0
BLR,LVA,140.0
BLR,MAC,150.0
BLR,MAR,82.0
BLR,MDA,82.0
BLR,MEX,92.0
BLR,MLT,142.0
BLR,MNE,134.0
BLR,MYS,126.0
BLR,NLD,112.0
BLR,NOR,150.0
BLR,NZL,96.0
BLR,PAN,126.0
BLR,PER,80.0
BLR,PHL,102.0
BLR,POL,82.0
BLR,PRT,158.0
BLR,QAT,130.0
BLR,QAZ,96.0
BLR,QCI,112.0
BLR,QMR,120.0
BLR,QRT,98.0
BLR,ROU,60.0
BLR,RUS,98.0
BLR,SAU,82.0
BLR,SGP,130.0
BLR,SRB,120.0
BLR,SVK,130.0
BLR,SVN,86.0
BLR,SWE,152.0
BLR,TAP,158.0
BLR,THA,90.0
BLR,TUR,82.0
BLR,UKR,74.0
BLR,URY,102.0
BLR,USA,196.0
BLR,VNM,160.0
BRA,BRN,118.0
BRA,CAN,166.0
BRA,CHE,72.0
BRA,CHL,74.0
BRA,COL,68.0
BRA,CRI,94.0
BRA,CZE,96.0
BRA,DEU,84.0
BRA,DNK,100.0
BRA,DOM,112.0
BRA,ESP,112.0
BRA,EST,98.0
BRA,FIN,154.0
BRA,FRA,78.0
BRA,GBR,166.0
BRA,GEO,94.0
BRA,GRC,74.0
BRA,HKG,80.0
BRA,HRV,90.0
BRA,HUN,66.0
BRA,IDN,192.0
BRA,IRL,122.0
BRA,ISL,140.0
