Country1,Country2,Footrule
AUT,FIN,196.0
AUT,FRA,118.0
AUT,GBR,190.0
AUT,GEO,122.0
AUT,GRC,98.0
AUT,HKG,218.0
AUT,HRV,92.0
AUT,HUN,88.0
AUT,IDN,162.0
AUT,IRL,182.0
AUT,ISL,148.0
AUT,ITA,118.0
AUT,JOR,110.0
AUT,JPN,250.0
AUT,KAZ,66.0
AUT,KOR,192.0
AUT,KSV,114.0
AUT,LTU,38.0
AUT,LUX,156.0
AUT,LVA,188.0
AUT,MAC,190.0
AUT,MAR,140.0
AUT,MDA,192.0
AUT,MEX,96.0
AUT,MLT,116.0
AUT,MNE,146.0
AUT,MYS,168.0
AUT,NLD,232.0
AUT,NOR,156.0
AUT,NZL,116.0
AUT,PAN,134.0
AUT,PER,162.0
AUT,PHL,172.0
AUT,POL,156.0
AUT,PRT,158.0
AUT,QAT,124.0
AUT,QAZ,66.0
AUT,QCI,192.0
AUT,QMR,132.0
AUT,QRT,98.0
AUT,ROU,148.0
AUT,RUS,84.0
AUT,SAU,128.0
AUT,SGP,188.0
AUT,SRB,116.0
AUT,SVK,58.0
AUT,SVN,156.0
AUT,SWE,170.0
AUT,TAP,194.0
AUT,THA,152.0
AUT,TUR,114.0
AUT,UKR,126.0
AUT,URY,200.0
AUT,USA,222.0
AUT,VNM,190.0
BEL,BGR,230.0
BEL,BIH,216.0
BEL,BLR,146.0
BEL,BRA,114.0
BEL,BRN,174.0
BEL,CAN,214.0
BEL,CHE,186.0
BEL,CHL,188.0
BEL,COL,154.0
BEL,CRI,172.0
BEL,CZE,178.0
BEL,DEU,166.0
BEL,DNK,176.0
BEL,DOM,160.0
BEL,ESP,130.0
BEL,EST,172.0
BEL,FIN,222.0
BEL,FRA,196.0
BEL,GBR,250.0
BEL,GEO,182.0
BEL,GRC,156.0
BEL,HKG,204.0
BEL,HRV,140.0
BEL,HUN,104.0
BEL,IDN,122.0
BEL,IRL,212.0
BEL,ISL,220.0
BEL,ITA,184.0
BEL,JOR,208.0
BEL,JPN,242.0
BEL,KAZ,142.0
BEL,KOR,178.0
BEL,KSV,176.0
BEL,LTU,112.0
BEL,LUX,150.0
BEL,LVA,186.0
BEL,MAC,180.0
BEL,MAR,234.0
BEL,MDA,260.0
BEL,MEX,146.0
BEL,MLT,184.0
BEL,MNE,220.0
BEL,MYS,216.0
BEL,NLD,196.0
BEL,NOR,212.0
BEL,NZL,150.0
BEL,PAN,190.0
BEL,PER,224.0
BEL,PHL,224.0
BEL,POL,140.0
BEL,PRT,150.0
BEL,QAT,174.0
BEL,QAZ,154.0
BEL,QCI,188.0
BEL,QMR,178.0
BEL,QRT,180.0
BEL,ROU,138.0
BEL,RUS,148.0
BEL,SAU,184.0
BEL,SGP,144.0
BEL,SRB,190.0
BEL,SVK,162.0
BEL,SVN,178.0
BEL,SWE,152.0
BEL,TAP,150.0
BEL,THA,150.0
BEL,TUR,176.0
BEL,UKR,168.0
BEL,URY,234.0
BEL,USA,210.0
BEL,VNM,256.0
BGR,BIH,154.0
