,AGE,ATTLNACT,BELONG,BSMJ,COMPETE,DISCLIMA,DURECEC,EDUSHORT,EMOSUPS,EUDMO,GFOFAIL,GRADE,JOYREAD,MASTGOAL,METASPAM,METASUM,PERCOMP,PERCOOP,PV1MATH,PV1READ,PV1SCIE,RATCMP2,REPEAT,SCREADCOMP,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,SWBP,TEACHINT,TEACHSUP,UNDREM,WORKMAST
QRT,25,25,1,25,25,25,25,25,3,25,25,25,25,25,25,25,5,10,25,9,25,25,25,25,25,7,25,25,25,25,2,6,8,4,25,25,25,25,25
ROU,25,25,2,25,25,6,25,25,1,25,25,25,25,25,25,25,10,5,25,4,25,25,25,25,25,3,25,25,25,9,7,25,8,25,25,25,25,25,25
RUS,25,25,2,25,25,25,25,25,1,25,25,25,25,25,25,25,7,9,25,6,25,25,25,25,25,10,25,25,4,25,3,8,5,25,25,25,25,25,25
SAU,25,25,4,25,25,25,25,25,1,25,25,25,25,25,25,25,25,6,25,9,25,25,25,25,25,3,25,25,2,5,7,8,10,25,25,25,25,25,25
SGP,25,25,2,25,10,3,25,25,25,25,25,25,25,25,25,7,25,6,9,4,25,25,25,25,8,1,25,25,5,25,25,25,25,25,25,25,25,25,25
SRB,25,25,3,25,25,25,25,25,1,25,25,25,25,25,25,25,8,25,25,10,25,25,25,25,9,6,25,25,25,4,2,5,7,25,25,25,25,25,25
SVK,25,25,10,25,25,25,25,25,1,25,25,25,25,25,25,25,25,25,25,7,25,25,25,25,25,9,25,25,8,6,2,3,4,5,25,25,25,25,25
SVN,25,25,10,25,25,25,25,25,1,25,25,25,25,25,25,25,6,7,25,5,25,25,25,25,25,2,25,25,25,3,4,8,9,25,25,25,25,25,25
SWE,25,25,3,25,25,5,25,25,25,25,25,25,25,25,25,25,6,25,25,25,25,25,25,25,25,1,25,25,4,2,25,9,10,25,8,25,7,25,25
TAP,6,25,1,25,25,2,25,25,5,25,9,4,25,25,25,25,25,25,25,25,25,10,25,25,25,3,25,25,8,25,7,25,25,25,25,25,25,25,25
THA,25,25,2,25,25,25,25,25,10,25,25,25,25,25,25,25,25,25,5,1,25,25,25,25,25,4,25,25,25,8,6,7,9,3,25,25,25,25,25
TUR,25,25,3,25,25,10,25,25,4,25,25,25,25,25,25,25,25,7,25,2,9,25,25,25,25,1,25,25,25,25,5,25,8,6,25,25,25,25,25
UKR,25,25,2,25,25,8,25,25,1,25,25,25,25,25,25,25,10,6,25,3,25,25,25,25,25,5,25,25,25,25,7,25,9,4,25,25,25,25,25
URY,25,25,5,25,25,25,25,25,4,25,25,25,25,25,25,25,3,25,25,25,25,25,25,25,25,9,25,25,6,2,1,8,10,7,25,25,25,25,25
USA,25,25,1,25,25,6,25,25,5,25,25,25,25,25,25,25,25,25,8,2,25,25,25,25,25,3,25,10,7,25,9,4,25,25,25,25,25,25,25
VNM,25,25,5,25,25,3,25,10,25,25,25,2,25,25,25,25,6,25,25,25,25,25,4,25,25,1,8,25,25,25,25,7,9,25,25,25,25,25,25
