Country,Type,Rank,Feature,Importance
CRI,BEINGBULLIED,1,BELONG,0.09066123
CRI,BEINGBULLIED,2,DISCLIMA,0.03414025
CRI,BEINGBULLIED,3,EMOSUPS,0.032146886
CRI,BEINGBULLIED,4,GFOFAIL,0.031070938
CRI,BEINGBULLIED,5,ST004D01T,0.03100281
CRI,BEINGBULLIED,6,SWBP,0.030779565
CRI,BEINGBULLIED,7,ST207Q05HA,0.027589977
CRI,BEINGBULLIED,8,DIRINS,0.026759692
CRI,BEINGBULLIED,9,ST207Q04HA,0.026581319
CRI,BEINGBULLIED,10,ST207Q01HA,0.026579587
CZE,BEINGBULLIED,1,BELONG,0.10166811
CZE,BEINGBULLIED,2,PERCOMP,0.048273887
CZE,BEINGBULLIED,3,DISCLIMA,0.03690684
CZE,BEINGBULLIED,4,ST206Q01HA,0.033374764
CZE,BEINGBULLIED,5,EMOSUPS,0.032275558
CZE,BEINGBULLIED,6,SWBP,0.031536195
CZE,BEINGBULLIED,7,ST004D01T,0.030826451
CZE,BEINGBULLIED,8,SCREADDIFF,0.027946578
CZE,BEINGBULLIED,9,PV1READ,0.024820639
CZE,BEINGBULLIED,10,PERCOOP,0.023149803
DEU,BEINGBULLIED,1,BELONG,0.0981631
DEU,BEINGBULLIED,2,ST207Q04HA,0.033353195
DEU,BEINGBULLIED,3,SWBP,0.031117434
DEU,BEINGBULLIED,4,ST206Q01HA,0.030828202
DEU,BEINGBULLIED,5,PERCOMP,0.027905656
DEU,BEINGBULLIED,6,ST207Q02HA,0.027248012
DEU,BEINGBULLIED,7,ST207Q03HA,0.027172837
DEU,BEINGBULLIED,8,DISCLIMA,0.02681126
DEU,BEINGBULLIED,9,ST004D01T,0.023514125
DEU,BEINGBULLIED,10,EMOSUPS,0.023095245
DNK,BEINGBULLIED,1,BELONG,0.10450426
DNK,BEINGBULLIED,2,ST004D01T,0.048842743
DNK,BEINGBULLIED,3,DISCLIMA,0.03815726
DNK,BEINGBULLIED,4,SWBP,0.0376586
DNK,BEINGBULLIED,5,PERCOMP,0.03372169
DNK,BEINGBULLIED,6,GFOFAIL,0.029133292
DNK,BEINGBULLIED,7,PERCOOP,0.026366929
DNK,BEINGBULLIED,8,ST206Q01HA,0.024850616
DNK,BEINGBULLIED,9,EMOSUPS,0.024756262
DNK,BEINGBULLIED,10,EUDMO,0.024675548
DOM,BEINGBULLIED,1,ST207Q03HA,0.07429733
DOM,BEINGBULLIED,2,BELONG,0.053780455
DOM,BEINGBULLIED,3,ST206Q01HA,0.041526668
DOM,BEINGBULLIED,4,PV1READ,0.036872707
DOM,BEINGBULLIED,5,GRADE,0.036204156
DOM,BEINGBULLIED,6,ST207Q02HA,0.034959387
DOM,BEINGBULLIED,7,ST207Q01HA,0.03295521
DOM,BEINGBULLIED,8,ST004D01T,0.03147067
DOM,BEINGBULLIED,9,PERCOMP,0.029156087
DOM,BEINGBULLIED,10,GFOFAIL,0.025349986
ESP,BEINGBULLIED,1,BELONG,0.13643612
ESP,BEINGBULLIED,2,EMOSUPS,0.048359614
ESP,BEINGBULLIED,3,GFOFAIL,0.035515018
ESP,BEINGBULLIED,4,SWBP,0.034637652
ESP,BEINGBULLIED,5,ST004D01T,0.034187656
ESP,BEINGBULLIED,6,PERCOMP,0.033307232
ESP,BEINGBULLIED,7,ST207Q02HA,0.033232488
ESP,BEINGBULLIED,8,ST206Q01HA,0.031875763
ESP,BEINGBULLIED,9,DISCLIMA,0.03023018
ESP,BEINGBULLIED,10,ST207Q03HA,0.027321482
EST,BEINGBULLIED,1,BELONG,0.09081795
EST,BEINGBULLIED,2,ST004D01T,0.05096687
EST,BEINGBULLIED,3,EMOSUPS,0.04242656
EST,BEINGBULLIED,4,ST207Q03HA,0.03072958
EST,BEINGBULLIED,5,PERCOMP,0.03065258
EST,BEINGBULLIED,6,DISCLIMA,0.027047848
EST,BEINGBULLIED,7,ST207Q04HA,0.026625618
EST,BEINGBULLIED,8,ST207Q02HA,0.025476743
EST,BEINGBULLIED,9,ST207Q05HA,0.024030503
EST,BEINGBULLIED,10,GFOFAIL,0.023712717
FIN,BEINGBULLIED,1,BELONG,0.10705502
FIN,BEINGBULLIED,2,ST004D01T,0.0389656
FIN,BEINGBULLIED,3,SWBP,0.03713477
FIN,BEINGBULLIED,4,ST207Q01HA,0.03651099
FIN,BEINGBULLIED,5,GFOFAIL,0.03462625
FIN,BEINGBULLIED,6,ST207Q04HA,0.03195128
FIN,BEINGBULLIED,7,PERCOOP,0.030005954
FIN,BEINGBULLIED,8,ST206Q01HA,0.028218284
FIN,BEINGBULLIED,9,DISCLIMA,0.028148724
FIN,BEINGBULLIED,10,REPEAT,0.026847783
FRA,BEINGBULLIED,1,BELONG,0.092515595
FRA,BEINGBULLIED,2,GFOFAIL,0.042333726
FRA,BEINGBULLIED,3,PERCOMP,0.029748704
FRA,BEINGBULLIED,4,GRADE,0.029628677
FRA,BEINGBULLIED,5,REPEAT,0.028118556
FRA,BEINGBULLIED,6,ST206Q01HA,0.027748097
FRA,BEINGBULLIED,7,SWBP,0.027236281
FRA,BEINGBULLIED,8,ST207Q02HA,0.027131384
FRA,BEINGBULLIED,9,EMOSUPS,0.027052516
FRA,BEINGBULLIED,10,ST207Q01HA,0.026407428
GBR,BEINGBULLIED,1,BELONG,0.19315189
GBR,BEINGBULLIED,2,GFOFAIL,0.04883835
GBR,BEINGBULLIED,3,ST004D01T,0.044477582
GBR,BEINGBULLIED,4,DISCLIMA,0.035432633
GBR,BEINGBULLIED,5,ST185Q01HA,0.035289016
GBR,BEINGBULLIED,6,ST207Q01HA,0.033865735
GBR,BEINGBULLIED,7,SWBP,0.029876169
GBR,BEINGBULLIED,8,PERCOMP,0.026756149
GBR,BEINGBULLIED,9,ST207Q02HA,0.021006525
GBR,BEINGBULLIED,10,COMPETE,0.020934733
GEO,BEINGBULLIED,1,BELONG,0.079908125
GEO,BEINGBULLIED,2,EMOSUPS,0.040649507
GEO,BEINGBULLIED,3,ST207Q01HA,0.037642222
GEO,BEINGBULLIED,4,ST207Q02HA,0.033386756
GEO,BEINGBULLIED,5,DISCLIMA,0.03230918
GEO,BEINGBULLIED,6,PV1READ,0.030377239
GEO,BEINGBULLIED,7,PERCOMP,0.029428976
GEO,BEINGBULLIED,8,ST207Q04HA,0.028262919
GEO,BEINGBULLIED,9,ST004D01T,0.027782267
GEO,BEINGBULLIED,10,REPEAT,0.02636057
GRC,BEINGBULLIED,1,BELONG,0.08158362
GRC,BEINGBULLIED,2,ST004D01T,0.064878255
GRC,BEINGBULLIED,3,EMOSUPS,0.03828439
GRC,BEINGBULLIED,4,ST207Q04HA,0.034147467
GRC,BEINGBULLIED,5,PV1READ,0.031452604
GRC,BEINGBULLIED,6,PERCOMP,0.03031516
