Country,Type,Prevalence
JPN,BEINGBULLIED,-0.2866472100101455
JPN,BULLY_VERBAL,0.13275495171059093
JPN,BULLY_THREAT,0.02242592895727615
JPN,BULLY_PHYSICAL,0.0659682435750532
JPN,BULLY_RELATIONAL,0.05090849566213783
KAZ,BEINGBULLIED,0.08703578307801692
KAZ,BULLY_VERBAL,0.1087301994155944
KAZ,BULLY_THREAT,0.09617060542369406
KAZ,BULLY_PHYSICAL,0.12646742195109448
KAZ,BULLY_RELATIONAL,0.12077715691802943
KOR,BULLY_VERBAL,0.07819548872180451
KOR,BULLY_THREAT,0.011278195488721804
KOR,BULLY_PHYSICAL,0.01593984962406015
KOR,BULLY_RELATIONAL,0.02180451127819549
KSV,BEINGBULLIED,0.14900404420409122
KSV,BULLY_VERBAL,0.10379596678529063
KSV,BULLY_THREAT,0.09549228944246738
KSV,BULLY_PHYSICAL,0.1431395808620008
KSV,BULLY_RELATIONAL,0.13226571767497033
LBN,BULLY_VERBAL,0.0
LBN,BULLY_THREAT,0.0
LBN,BULLY_PHYSICAL,0.0
LBN,BULLY_RELATIONAL,0.0
LTU,BEINGBULLIED,0.040678472222222206
LTU,BULLY_VERBAL,0.11169208424110384
LTU,BULLY_THREAT,0.0830791575889615
LTU,BULLY_PHYSICAL,0.11358024691358025
LTU,BULLY_RELATIONAL,0.10457516339869281
LUX,BEINGBULLIED,-0.045189404998894046
LUX,BULLY_VERBAL,0.10630975143403441
LUX,BULLY_THREAT,0.052390057361376675
LUX,BULLY_PHYSICAL,0.07801147227533461
LUX,BULLY_RELATIONAL,0.09445506692160612
LVA,BEINGBULLIED,0.38022770495445457
LVA,BULLY_VERBAL,0.15670375259287195
LVA,BULLY_THREAT,0.09032623043560249
LVA,BULLY_PHYSICAL,0.14501225721289837
LVA,BULLY_RELATIONAL,0.1401093720535546
MAC,BEINGBULLIED,0.136828067361668
MAC,BULLY_VERBAL,0.20582781456953642
MAC,BULLY_THREAT,0.06675496688741722
MAC,BULLY_PHYSICAL,0.1080794701986755
MAC,BULLY_RELATIONAL,0.10596026490066225
MAR,BEINGBULLIED,0.3924410849453322
MAR,BULLY_VERBAL,0.06838861168183152
