Country,Type,AUC,Rank,Feature,Importance
ARG,BULLY_RELATIONAL,0.9397625447193779,10,PV1READ,0.026793728
AUS,BULLY_VERBAL,0.9070654411539755,1,BELONG,0.108660355
AUS,BULLY_VERBAL,0.9070654411539755,2,PERCOOP,0.067910366
AUS,BULLY_VERBAL,0.9070654411539755,3,EMOSUPS,0.045807928
AUS,BULLY_VERBAL,0.9070654411539755,4,ST207Q01HA,0.04384661
AUS,BULLY_VERBAL,0.9070654411539755,5,ST004D01T,0.04034596
AUS,BULLY_VERBAL,0.9070654411539755,6,PERCOMP,0.03885637
AUS,BULLY_VERBAL,0.9070654411539755,7,ST207Q03HA,0.034359906
AUS,BULLY_VERBAL,0.9070654411539755,8,DISCLIMA,0.032931853
AUS,BULLY_VERBAL,0.9070654411539755,9,ST207Q04HA,0.03144712
AUS,BULLY_VERBAL,0.9070654411539755,10,ST207Q02HA,0.030262576
AUS,BULLY_THREAT,0.948150714621046,1,BELONG,0.09965166
AUS,BULLY_THREAT,0.948150714621046,2,EMOSUPS,0.058252987
AUS,BULLY_THREAT,0.948150714621046,3,DISCLIMA,0.044189673
AUS,BULLY_THREAT,0.948150714621046,4,ST004D01T,0.04310864
AUS,BULLY_THREAT,0.948150714621046,5,ST185Q01HA,0.03610125
AUS,BULLY_THREAT,0.948150714621046,6,ST206Q01HA,0.030831454
AUS,BULLY_THREAT,0.948150714621046,7,ST207Q01HA,0.029059336
AUS,BULLY_THREAT,0.948150714621046,8,PERCOMP,0.028726256
AUS,BULLY_THREAT,0.948150714621046,9,PV1READ,0.028695825
AUS,BULLY_THREAT,0.948150714621046,10,ST207Q03HA,0.026463991
AUS,BULLY_PHYSICAL,0.9349126945427872,1,BELONG,0.07561417
AUS,BULLY_PHYSICAL,0.9349126945427872,2,EMOSUPS,0.06995645
AUS,BULLY_PHYSICAL,0.9349126945427872,3,ST004D01T,0.066466086
AUS,BULLY_PHYSICAL,0.9349126945427872,4,PERCOOP,0.04082301
AUS,BULLY_PHYSICAL,0.9349126945427872,5,DISCLIMA,0.03870752
AUS,BULLY_PHYSICAL,0.9349126945427872,6,PV1READ,0.028927356
AUS,BULLY_PHYSICAL,0.9349126945427872,7,PERCOMP,0.028534248
AUS,BULLY_PHYSICAL,0.9349126945427872,8,ST184Q01HA,0.02820682
AUS,BULLY_PHYSICAL,0.9349126945427872,9,ST185Q01HA,0.027409649
AUS,BULLY_PHYSICAL,0.9349126945427872,10,ST207Q01HA,0.027371513
AUS,BULLY_RELATIONAL,0.9335499423271056,1,BELONG,0.11315427
AUS,BULLY_RELATIONAL,0.9335499423271056,2,ST207Q01HA,0.049585957
AUS,BULLY_RELATIONAL,0.9335499423271056,3,EMOSUPS,0.0471259
AUS,BULLY_RELATIONAL,0.9335499423271056,4,PERCOOP,0.045943584
AUS,BULLY_RELATIONAL,0.9335499423271056,5,DISCLIMA,0.033334106
AUS,BULLY_RELATIONAL,0.9335499423271056,6,ST184Q01HA,0.031483337
AUS,BULLY_RELATIONAL,0.9335499423271056,7,ST207Q03HA,0.028342485
AUS,BULLY_RELATIONAL,0.9335499423271056,8,PERCOMP,0.027206283
AUS,BULLY_RELATIONAL,0.9335499423271056,9,PV1READ,0.02587577
AUS,BULLY_RELATIONAL,0.9335499423271056,10,ST207Q04HA,0.025553303
AUT,BULLY_VERBAL,0.9562541512827138,1,BELONG,0.06600912
AUT,BULLY_VERBAL,0.9562541512827138,2,PERCOOP,0.039428886
AUT,BULLY_VERBAL,0.9562541512827138,3,EMOSUPS,0.035001043
AUT,BULLY_VERBAL,0.9562541512827138,4,ST207Q02HA,0.034147628
AUT,BULLY_VERBAL,0.9562541512827138,5,ST207Q05HA,0.028823463
AUT,BULLY_VERBAL,0.9562541512827138,6,ST207Q01HA,0.028123818
AUT,BULLY_VERBAL,0.9562541512827138,7,DISCLIMA,0.027851444
AUT,BULLY_VERBAL,0.9562541512827138,8,PERCOMP,0.027696332
AUT,BULLY_VERBAL,0.9562541512827138,9,ST207Q03HA,0.02625003
AUT,BULLY_VERBAL,0.9562541512827138,10,ST206Q01HA,0.025501892
AUT,BULLY_THREAT,0.9921977135178585,1,ST207Q03HA,0.07906184
AUT,BULLY_THREAT,0.9921977135178585,2,BELONG,0.07019937
AUT,BULLY_THREAT,0.9921977135178585,3,EMOSUPS,0.051448397
AUT,BULLY_THREAT,0.9921977135178585,4,ST207Q02HA,0.045071788
AUT,BULLY_THREAT,0.9921977135178585,5,PV1READ,0.03971954
AUT,BULLY_THREAT,0.9921977135178585,6,ST206Q01HA,0.03723011
AUT,BULLY_THREAT,0.9921977135178585,7,ST004D01T,0.034216303
AUT,BULLY_THREAT,0.9921977135178585,8,PV1SCIE,0.028476704
AUT,BULLY_THREAT,0.9921977135178585,9,PERCOOP,0.026717437
AUT,BULLY_THREAT,0.9921977135178585,10,PERCOMP,0.023864726
AUT,BULLY_PHYSICAL,0.9710266733542093,1,ST207Q03HA,0.095421284
AUT,BULLY_PHYSICAL,0.9710266733542093,2,EMOSUPS,0.06351644
AUT,BULLY_PHYSICAL,0.9710266733542093,3,PERCOOP,0.04898964
AUT,BULLY_PHYSICAL,0.9710266733542093,4,BELONG,0.043069467
AUT,BULLY_PHYSICAL,0.9710266733542093,5,ST206Q01HA,0.040491596
AUT,BULLY_PHYSICAL,0.9710266733542093,6,ST004D01T,0.040353987
AUT,BULLY_PHYSICAL,0.9710266733542093,7,ST207Q02HA,0.027423183
AUT,BULLY_PHYSICAL,0.9710266733542093,8,ST207Q04HA,0.026916277
AUT,BULLY_PHYSICAL,0.9710266733542093,9,ST207Q05HA,0.025322268
AUT,BULLY_PHYSICAL,0.9710266733542093,10,DISCLIMA,0.024885423
AUT,BULLY_RELATIONAL,0.9695068802463417,1,PERCOOP,0.05848534
AUT,BULLY_RELATIONAL,0.9695068802463417,2,BELONG,0.047189023
AUT,BULLY_RELATIONAL,0.9695068802463417,3,EMOSUPS,0.042588126
AUT,BULLY_RELATIONAL,0.9695068802463417,4,ST206Q01HA,0.035897583
AUT,BULLY_RELATIONAL,0.9695068802463417,5,ST207Q03HA,0.033254605
AUT,BULLY_RELATIONAL,0.9695068802463417,6,DISCLIMA,0.031511977
AUT,BULLY_RELATIONAL,0.9695068802463417,7,ST207Q02HA,0.030804109
AUT,BULLY_RELATIONAL,0.9695068802463417,8,PERCOMP,0.025311582
AUT,BULLY_RELATIONAL,0.9695068802463417,9,PV1SCIE,0.025035346
AUT,BULLY_RELATIONAL,0.9695068802463417,10,GFOFAIL,0.024501774
BEL,BULLY_VERBAL,0.9437441905716019,1,BELONG,0.09967054
BEL,BULLY_VERBAL,0.9437441905716019,2,PERCOMP,0.035940554
BEL,BULLY_VERBAL,0.9437441905716019,3,ST207Q02HA,0.032882415
BEL,BULLY_VERBAL,0.9437441905716019,4,EMOSUPS,0.031179894
BEL,BULLY_VERBAL,0.9437441905716019,5,DISCLIMA,0.030600252
BEL,BULLY_VERBAL,0.9437441905716019,6,ST004D01T,0.02891414
BEL,BULLY_VERBAL,0.9437441905716019,7,RATCMP2,0.028511658
BEL,BULLY_VERBAL,0.9437441905716019,8,ST207Q05HA,0.027539598
BEL,BULLY_VERBAL,0.9437441905716019,9,ST207Q04HA,0.026783343
BEL,BULLY_VERBAL,0.9437441905716019,10,PERCOOP,0.02627392
BEL,BULLY_THREAT,0.9887154208754209,1,BELONG,0.07981388
BEL,BULLY_THREAT,0.9887154208754209,2,PV1READ,0.03697966
BEL,BULLY_THREAT,0.9887154208754209,3,ST004D01T,0.035705358
